Size;Process;Time
1000000000;8;Time: 8.383308 seconds
10000000000;8;Time: 11.866161 seconds
100000;16;Time: 0.019742 seconds
1000000;16;Time: 0.016100 seconds
10000000;16;Time: 0.104516 seconds
100000000;16;Time: 0.868176 seconds
1000000000;16;Time: 4.299573 seconds
10000000000;16;Time: 10.457066 seconds
100000;32;Time: 0.042818 seconds
1000000;32;Time: 0.011478 seconds
10000000;32;Time: 0.096022 seconds
100000000;32;Time: 0.807798 seconds
1000000000;32;Time: 7.823688 seconds
10000000000;32;Time: 11.107903 seconds
100000;2;Time: 0.003733 seconds
1000000;2;Time: 0.016817 seconds
10000000;2;Time: 0.167352 seconds
100000000;2;Time: 1.669393 seconds
1000000000;2;Time: 16.803254 seconds
10000000000;2;Time: 47.154907 seconds
100000;4;Time: 0.002312 seconds
1000000;4;Time: 0.008959 seconds
10000000;4;Time: 0.087898 seconds
100000000;4;Time: 1.679138 seconds
1000000000;4;Time: 8.383506 seconds
10000000000;4;Time: 11.821207 seconds
100000;8;Time: 0.007212 seconds
1000000;8;Time: 0.006046 seconds
10000000;8;Time: 0.085124 seconds
100000000;8;Time: 0.855737 seconds
1000000000;8;Time: 8.400216 seconds
10000000000;8;Time: 11.912555 seconds
100000;16;Time: 0.020732 seconds
1000000;16;Time: 0.033248 seconds
10000000;16;Time: 0.067597 seconds
100000000;16;Time: 0.839923 seconds
1000000000;16;Time: 7.743102 seconds
10000000000;16;Time: 11.124259 seconds
100000;32;Time: 0.048033 seconds
1000000;32;Time: 0.051929 seconds
10000000;32;Time: 0.099946 seconds
100000000;32;Time: 0.743563 seconds
1000000000;32;Time: 4.124226 seconds
10000000000;32;Time: 12.020092 seconds
100000;2;Time: 0.003736 seconds
1000000;2;Time: 0.017089 seconds
10000000;2;Time: 0.335118 seconds
100000000;2;Time: 1.688204 seconds
1000000000;2;Time: 33.504216 seconds
10000000000;2;Time: 23.624984 seconds
100000;4;Time: 0.002408 seconds
1000000;4;Time: 0.017671 seconds
10000000;4;Time: 0.083963 seconds
100000000;4;Time: 0.846704 seconds
1000000000;4;Time: 16.734777 seconds
10000000000;4;Time: 23.609403 seconds
100000;8;Time: 0.002893 seconds
1000000;8;Time: 0.010758 seconds
10000000;8;Time: 0.084985 seconds
100000000;8;Time: 0.840468 seconds
1000000000;8;Time: 8.463052 seconds
10000000000;8;Time: 11.854647 seconds
100000;16;Time: 0.023763 seconds
1000000;16;Time: 0.018964 seconds
10000000;16;Time: 0.084997 seconds
100000000;16;Time: 0.868353 seconds
1000000000;16;Time: 7.964041 seconds
10000000000;16;Time: 11.174457 seconds
100000;32;Time: 0.059369 seconds
1000000;32;Time: 0.015460 seconds
10000000;32;Time: 0.123580 seconds
100000000;32;Time: 0.816852 seconds
1000000000;32;Time: 7.827873 seconds
10000000000;32;Time: 10.359421 seconds
100000;2;Time: 0.001719 seconds
1000000;2;Time: 0.017097 seconds
10000000;2;Time: 0.173242 seconds
100000000;2;Time: 1.678199 seconds
1000000000;2;Time: 16.756345 seconds
10000000000;2;Time: 23.647955 seconds
100000;4;Time: 0.001217 seconds
1000000;4;Time: 0.017940 seconds
10000000;4;Time: 0.168239 seconds
100000000;4;Time: 0.834576 seconds
1000000000;4;Time: 8.380529 seconds
10000000000;4;Time: 23.655153 seconds
100000;8;Time: 0.001681 seconds
1000000;8;Time: 0.012532 seconds
10000000;8;Time: 0.085749 seconds
100000000;8;Time: 0.845607 seconds
1000000000;8;Time: 8.449584 seconds
10000000000;8;Time: 5.901929 seconds
100000;16;Time: 0.031659 seconds
1000000;16;Time: 0.040371 seconds
10000000;16;Time: 0.071447 seconds
100000000;16;Time: 0.803681 seconds
1000000000;16;Time: 4.196558 seconds
10000000000;16;Time: 10.880733 seconds
100000;32;Time: 0.024027 seconds
1000000;32;Time: 0.016062 seconds
10000000;32;Time: 0.102128 seconds
100000000;32;Time: 0.808216 seconds
1000000000;32;Time: 7.780324 seconds
10000000000;32;Time: 10.948224 seconds
100000;2;Time: 0.001978 seconds
1000000;2;Time: 0.017043 seconds
10000000;2;Time: 0.335544 seconds
100000000;2;Time: 1.668508 seconds
1000000000;2;Time: 16.656407 seconds
10000000000;2;Time: 23.624462 seconds
100000;4;Time: 0.002012 seconds
1000000;4;Time: 0.018211 seconds
10000000;4;Time: 0.168468 seconds
100000000;4;Time: 1.675965 seconds
1000000000;4;Time: 16.692764 seconds
10000000000;4;Time: 11.964717 seconds
100000;8;Time: 0.004635 seconds
1000000;8;Time: 0.004504 seconds
10000000;8;Time: 0.087812 seconds
100000000;8;Time: 0.840643 seconds
1000000000;8;Time: 4.194560 seconds
10000000000;8;Time: 11.784821 seconds
100000;16;Time: 0.028100 seconds
1000000;16;Time: 0.029748 seconds
10000000;16;Time: 0.103782 seconds
100000000;16;Time: 0.860925 seconds
1000000000;16;Time: 6.704096 seconds
10000000000;16;Time: 11.160715 seconds
100000;32;Time: 0.000332 seconds
1000000;32;Time: 0.047537 seconds
10000000;32;Time: 0.119820 seconds
100000000;32;Time: 0.787815 seconds
1000000000;32;Time: 7.759556 seconds
10000000000;32;Time: 10.904002 seconds

